TotalFloor22;//Total Floor number
f1
2,2,2,2,2,22,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2
2,1,1,1,27,1,1,1,1,1,2
2,1,1,1,1,1,1,1,1,1,2
2,1,1,1,1,1,1,1,1,1,2
2,1,1,1,1,1,1,1,1,26,2
f2
22,1,5,101,102,101,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,1
1,1,1,1,1,2,1,1,1,2,1
1,1,1,2,1,2,1,1,1,2,1
2,1,2,2,1,2,2,2,1,2,1
1,1,1,2,1,1,1,1,1,2,1
1,1,1,2,1,2,2,2,2,2,1
2,1,2,2,1,1,1,1,1,1,1
1,1,1,2,2,1,2,2,2,19,2
1,1,1,2,1,1,1,2,5,117,6
1,1,1,2,1,23,1,2,5,5,5
f3
23,2,1,127,1,2,3,4,5,7,2
1,2,4,2,9,2,3,4,5,6,2
1,2,5,2,5,2,3,4,5,126,2
1,2,5,2,5,2,2,2,2,19,2
1,2,1,2,1,1,1,19,1,1,2
1,2,19,2,2,19,2,2,19,2,2
1,1,1,1,1,1,2,1,126,1,2
1,2,19,2,2,20,2,1,2,1,2
1,2,5,2,9,8,2,1,2,1,2
1,2,5,2,9,8,2,1,2,1,2
22,2,3,2,9,8,2,1,2,1,2
f4
10,102,5,2,1,1,1,2,2,2,2
102,5,1,2,1,1,1,2,1,105,1
5,113,1,2,2,19,2,2,1,2,1
2,19,2,2,1,113,1,2,5,2,102
1,1,1,2,2,2,1,2,5,2,105
101,2,1,105,102,105,1,2,5,2,102
101,2,2,2,2,2,1,1,1,2,1
1,1,1,1,1,2,2,19,2,2,1
2,2,2,2,105,2,102,1,102,2,1
2,1,1,1,1,2,4,105,5,2,1
23,1,2,2,2,2,3,9,5,2,22
f5
1,103,1,2,1,1,1,2,1,103,1
19,2,19,2,1,1,1,2,19,2,19
1,2,1,2,2,1,2,2,1,2,1
1,2,113,2,106,107,106,2,113,2,1
105,2,8,2,4,106,4,2,8,2,105
105,2,8,2,2,21,2,2,8,2,105
102,2,1,2,117,121,117,2,1,2,102
1,2,1,2,3,117,3,2,1,2,1
1,2,1,2,2,20,2,2,1,2,1
1,2,1,2,5,1,5,2,1,2,1
22,2,1,103,1,1,1,103,1,2,23
f6
1,2,8,2,9,109,1,1,109,5,6
1,2,3,2,109,1,1,1,1,109,5
106,2,1,2,114,1,2,2,19,2,2
1,19,109,2,11,114,2,1,117,114,1
106,2,1,2,2,2,2,1,1,1,114
3,2,1,1,1,105,113,1,1,1,1
4,2,2,103,2,2,2,2,1,1,1
1,1,2,103,2,1,1,1,117,121,1
2,2,2,105,2,19,2,20,2,19,2
1,1,2,1,2,105,2,4,19,1,2
23,1,105,1,1,1,2,5,2,22,2
f7
12,115,2,4,2,5,104,1,2,9,9
115,5,2,3,2,1,5,104,2,119,9
5,107,20,1,20,107,1,5,2,1,119
1,1,2,121,2,1,1,1,2,112,1
2,2,2,21,2,2,2,2,2,19,2
1,1,110,1,5,5,5,1,110,1,1
1,2,2,2,2,2,2,2,2,2,2
1,2,106,19,106,1,1,1,1,1,2
1,2,19,2,19,2,2,2,2,20,2
1,2,106,2,1,1,2,2,1,1,2
1,1,1,2,22,1,19,19,1,23,2
f8
22,1,1,1,1,1,1,1,2,2,2
2,2,1,107,2,20,2,115,1,2,2
2,1,107,4,2,130,2,3,115,1,2
1,1,2,2,2,1,2,2,2,1,1
1,1,20,130,1,1,1,130,20,1,1
1,2,2,2,2,1,2,2,2,2,1
1,2,8,3,2,130,2,4,8,2,1
1,2,5,8,2,20,2,8,5,2,1
1,2,2,6,6,9,6,6,2,2,1
1,1,2,2,2,21,2,2,2,1,1
2,1,1,19,23,1,1,19,1,1,2
f9
23,2,1,1,1,1,2,1,5,115,1
1,2,1,2,2,19,2,19,2,2,1
1,2,1,2,1,1,20,1,1,2,3
1,2,1,2,111,2,2,2,106,2,103
106,2,1,2,8,2,22,1,1,2,103
107,2,4,2,8,2,2,2,2,2,1
106,2,103,2,1,1,1,2,1,107,1
1,2,103,2,2,2,121,2,19,2,2
1,2,1,115,1,2,115,2,1,1,1
1,2,2,2,19,2,1,2,2,2,1
1,1,111,1,1,2,1,104,130,104,1
f10
1,5,1,2,2,2,1,1,1,2,1
5,1,118,19,1,1,1,2,1,19,115
2,19,2,2,1,2,2,2,1,2,5
1,1,1,2,1,2,1,1,1,2,5
1,1,1,21,1,2,23,2,1,2,8
2,20,2,2,1,2,2,2,1,2,2
4,112,3,2,111,2,22,2,1,2,8
2,19,2,2,1,1,1,19,1,2,5
